"Document","Encl","Interval","Parameters","Date","Time","Session Info 0","Session Info 1","Session Info 2","Session Info 3","Info A","Info B","Info C","Basic Movements","Immobility","Fine Movements(KSE)","X Ambulation(KSE)","Y Ambulation(KSE)","Rearing","TM Rearing","Zone 1<Distance(in)>","Zone 1<TotTime(sec)>","Zone 1<RestTime(sec)>","Zone 1<Entries>","Zone 1<PokesInto>","Zone 2<Distance(in)>","Zone 2<TotTime(sec)>","Zone 2<RestTime(sec)>","Zone 2<Entries>","Zone 2<PokesInto>"
"SG180413-1 round01",5,1,"NI010200100006000100005",20180418,015250,"","","","","1","1","",1088,357.6,310,341,563,11, 5.7,738,255.8,34.0,14,6,335,104.2, 4.9,13,11
"SG180413-1 round01",10,1,"NI010200100006000100005",20180418,142256,"","","","","1","2","",1099,357.2,261,505,392,58,26.6,616,224.4,17.1,27,4,425,135.6, 6.9,26,10
"SG180413-1 round01",11,1,"NI010200100006000100005",20180418,192259,"","","","","1","3","",1227,354.6,371,574,447,41,26.1,692,194.0,10.6,32,11,537,166.0, 3.2,32,11
"SG180413-1 round02",5,1,"NI010200100006000100005",20180416,155813,"","","","","1","0","",1171,355.7,316,457,629,71,33.1,694,182.1, 7.7,22,4,533,177.9,21.4,23,6
"SG180413-1 round02",10,1,"NI010200100006000100005",20180416,212816,"","","","","1","4","",1318,349.1,314,678,470,99,53.8,797,232.8,17.1,34,1,494,127.2, 2.0,33,15
"SG180413-1 round02",11,1,"NI010200100006000100005",20180417,075221,"","","","","2","1","",1526,346.4,335,828,688,104,48.0,1010,224.6,17.7,34,10,561,135.4, 2.5,35,7
"SG180413-1 round03",5,1,"NI010200100006000100005",20180415,131904,"","","","","2","2","",1419,348.7,308,637,814,74,27.7,936,225.1,10.8,24,1,578,134.9, 3.1,23,11
"SG180413-1 round03",10,1,"NI010200100006000100005",20180415,203108,"","","","","2","3","",1389,353.0,384,684,507,74,38.8,888,232.2, 9.7,37,8,507,127.8, 4.7,37,15
"SG180413-1 round03",11,1,"NI010200100006000100005",20180415,201908,"","","","","2","4","",1648,338.4,373,923,695,91,54.2,981,194.1,14.7,48,14,717,165.9,15.0,49,6
"SG180413-1 round04",5,1,"NI010200100006000100005",20180415,031119,"","","","","2","0","",1319,351.4,330,523,747,62,37.1,732,197.1,19.3,20,7,621,162.9, 7.2,19,4
